golden_id,mutation_id,mutant_id,generated,mutation_operator,short_mutation_description,expected_accessibility_effect,independent_mutation_verification,visual_preservation,PAC_result,PAC_failed_checkpoint,PAC_failure_count,PAC_detection,Acrobat_result,Acrobat_failed_rule,Acrobat_failure_count,Acrobat_detection,veraPDF_result,veraPDF_failed_rule,veraPDF_failure_count,veraPDF_detection,all_three_agree,agreement_pattern,interpretation_note
G01,M01,G01_M01,Yes,Structural reading-order swap,Topics numbered list: swap first two /LI children 153 0 R ('Short intro on accessibility and Tagged PDF') and 158 0 R ('Advantages of Tagged PDF').,"The Topics list is exposed as item 2 before item 1, followed by items 3 and 4.",Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G01,M02,G01_M02,Yes,Omit visible content from tag structure,Visible page heading 'Topics' tagged as /H1 with MCID 11.,The visible slide title is omitted from the assistive representation.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G01,M03,G01_M03,Yes,Incorrect heading level / skipped hierarchy,Visible heading 'Main rules:' tagged as /H2.,"The heading remains visible but is exposed at an incorrect level, such as /H4.",Verified programmatically,No visual difference detected,Not compliant,Structure Elements,>=1,Detected,Failed,Headings: Appropriate nesting,1,Detected,Failed,ISO 14289-1:2014 7.4.2 test 1: heading hierarchy skips level,1,Detected,Yes,Detected/Detected/Detected,Detected consistently by all three validators.
G01,M04,G01_M04,Yes,Wrong marked-content association,Topics list: swap the marked-content associations of /LI 153 0 R and /LI 158 0 R without changing sibling order.,"The first list position semantically represents item 2 and the second represents item 1 while the /LI sibling order remains 1, 2, 3, 4.",Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G01,M05,G01_M05,Yes,Internal MCID sequence reversal,"First Topics /LI has multiple MCIDs [12, 13] for label and body.",The single list item exposes its body and label in the wrong internal sequence.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G02,M01,G02_M01,Yes,Structural reading-order swap,"Topics list: swap /LI 213 0 R ('Hidden, selectable text for scanned documents via OCR') and /LI 214 0 R ('Structured data...').",The feature list is exposed with the second topic before the first.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G02,M02,G02_M02,Yes,Omit visible content from tag structure,Visible section heading 'ABSTRACT' tagged as /H1.,The Abstract heading remains visible but is omitted from the assistive representation.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G02,M03,G02_M03,Yes,Incorrect heading level / skipped hierarchy,Visible heading 'ACM Reference Format:' tagged as /H2.,"The heading remains visually unchanged but is exposed at an incorrect hierarchy level, such as /H4.",Verified programmatically,No visual difference detected,Not compliant,Structure Elements,>=1,Detected,Failed,Headings: Appropriate nesting,1,Detected,Failed,ISO 14289-1:2014 7.4.2 test 1: heading hierarchy skips level,1,Detected,Yes,Detected/Detected/Detected,Detected consistently by all three validators.
G02,M04,G02_M04,Yes,Wrong marked-content association,Topics list: swap marked-content associations between /LI 213 0 R and /LI 214 0 R without changing sibling /LI order.,"The list order remains structurally stable, but the first two items point to each other's underlying content.",Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Failed,Lists: List items; Lbl and LBody,2,Detected,Failed,ISO 14289-1:2014 7.2 tests 17-20: list containment/child constraints,4,Detected,No,Missed/Detected/Detected,Only validator disagreement case: PAC missed; Acrobat and veraPDF detected list-structure failures.
G02,M05,G02_M05,Yes,Internal MCID sequence reversal,"Opening abstract paragraph tagged as /P with multiple MCIDs [6, 7, 8, 9, 10].",One paragraph exposes its internal text chunks in an incorrect reading sequence.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
